Date,Open,High,Low,Close,Adj Close,Volume
2022-01-31,89.610001,93.900002,89.010002,93.010002,87.977188,32449800
2022-02-07,93.459999,96.959999,92.870003,95.269997,90.114899,31568000
2022-02-14,95.510002,95.599998,92.889999,93.370003,88.317711,27894200
2022-02-21,93.620003,98.269997,89.309998,98.120003,92.810677,31156300
2022-02-28,99.019997,104.339996,98.230003,99.589996,94.724869,59142300
2022-03-07,101.290001,103.099998,94.690002,96.919998,92.185295,38742800
2022-03-14,97.169998,98.279999,94.070000,97.519997,92.755997,36788000
2022-03-21,97.839996,102.970001,97.800003,102.430000,97.426140,24609800
2022-03-28,101.669998,102.379997,98.980003,100.169998,95.276543,23373800
2022-04-04,100.120003,102.739998,97.900002,100.400002,95.495293,24253100
2022-04-11,100.639999,104.980003,100.639999,104.269997,99.176247,19926100
2022-04-18,104.260002,106.019997,100.370003,100.489998,95.580902,23156900
2022-04-25,99.849998,100.949997,94.610001,94.910004,90.273499,31871000
2022-05-02,94.510002,98.199997,92.400002,95.300003,90.644440,30845100
2022-05-09,94.529999,94.790001,89.940002,91.919998,87.429558,31913900
2022-05-16,91.849998,95.199997,88.430000,90.080002,85.679451,27269000
2022-05-23,90.599998,96.720001,90.000000,96.709999,92.535110,23315300
2022-05-30,95.360001,96.620003,94.059998,96.330002,92.171524,17021900
2022-06-06,96.989998,100.680000,94.449997,95.489998,91.367775,25564300
2022-06-13,93.489998,93.529999,87.610001,88.879997,85.043137,25631200
2022-06-20,90.849998,94.370003,90.110001,94.199997,90.133476,18408400
2022-06-27,94.440002,96.790001,92.300003,96.110001,91.961029,15124600
