Date,Open,High,Low,Close,Adj Close,Volume
2022-01-31,376.760010,378.140015,364.619995,369.750000,357.075256,4013600
2022-02-07,370.540009,401.220001,368.209991,399.320007,385.631622,4528700
2022-02-14,397.000000,401.359985,380.299988,391.250000,377.838287,5943600
2022-02-21,394.869995,411.079987,384.839996,409.670013,395.626862,4193600
2022-02-28,414.309998,472.940002,413.929993,468.570007,454.311310,9726300
2022-03-07,472.420013,490.820007,435.690002,436.299988,423.023315,9199500
2022-03-14,439.299988,448.369995,416.230011,427.950012,414.927429,6423600
2022-03-21,435.239990,460.429993,432.109985,458.179993,444.237488,3767000
2022-03-28,453.859985,457.929993,431.380005,454.790009,440.950714,3526200
2022-04-04,455.429993,477.260010,444.369995,463.660004,449.550720,3767000
2022-04-11,466.380005,470.950012,459.320007,467.200012,452.983063,3184900
2022-04-18,467.200012,473.850006,443.029999,447.399994,433.785522,3390200
2022-04-25,443.989990,452.480011,432.390015,439.399994,426.028961,4118900
2022-05-02,437.119995,470.230011,431.920013,468.700012,454.437378,5113100
2022-05-09,465.959991,466.920013,442.700012,452.829987,439.050293,4128700
2022-05-16,453.670013,462.279999,437.519989,443.329987,429.839355,3321100
2022-05-23,446.649994,476.489990,446.299988,470.760010,456.434692,3356200
2022-05-30,465.970001,478.600006,449.690002,478.369995,465.536133,4585000
2022-06-06,479.269989,492.299988,453.000000,463.820007,451.376465,3990300
2022-06-13,459.769989,465.760010,436.070007,443.929993,432.020081,5444500
2022-06-20,448.640015,464.779999,448.619995,463.700012,451.259705,2742500
2022-06-27,461.380005,480.049988,458.109985,478.570007,465.730774,3067700
